dataset_id,short_name,column_index,variable_name,privacy_role,role_rationale,semantic_description,measurement_level,unit,coding_or_expected_range,observed_values_summary,nonmissing_count,missing_count,missing_rate,unique_count,scenario_membership,derived_formula,semantic_source,semantic_status,source_url
D1,BMI_Depression,14,Q 1,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 1; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,15,Q 2,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 2; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,16,Q 3,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 3; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,17,Q 4,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 4; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,18,Q 5,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 5; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,19,Q 6,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 6; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,20,Q 7,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 7; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,21,Q 8,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 8; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,22,Q 9,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 9; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,23,Q 10,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 10; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,24,Q 11,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 11; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,25,Q 12,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 12; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,26,Q 13,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 13; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,27,Q 14,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 14; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,28,Q 15,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 15; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,29,Q 16,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 16; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,30,Q 17,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 17; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,31,Q 18,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 18; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,32,Q 19,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 19; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,33,Q 20,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 20; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,34,Q 21,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Beck Depression Inventory-II response score for item 21; item wording is not reproduced in the repository workbook.,ordinal item score,0-3 points,0=no symptom to 3=severe symptom,0; 1; 2; 3,4683,0,0.0,4,,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,35,Depression score,sensitive,configured outcome or health/psychological attribute used for attribute-disclosure checks,Sum of the 21 Beck Depression Inventory-II item scores; higher values represent more severe symptoms.,integer score,0-63 points,sum(Q1..Q21),min=0; max=63; 59 distinct,4683,0,0.0,59,,sum(Q 1..Q 21),repository description and row-wise verification,derived_and_empirically_verified,https://data.mendeley.com/datasets/wrwtvtppgd/1
D2,GLP1,1,Timestamp,structural_identifier,identifier-like or operational field excluded from public release candidates,Survey submission timestamp. Treated conservatively as a direct/operational identifier because it is record-unique.,datetime text,,,513 distinct nonmissing values; contents suppressed,513,0,0.0,513,,,column header and observed file,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,2,Do you agree to participate in the survey?,other,not used by the current privacy-role configuration,Do you agree to participate in the survey?,categorical text,,,Yes; no,513,0,0.0,2,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,3,Researcher's number,structural_identifier,identifier-like or operational field excluded from public release candidates,Operational researcher or collector code. Treated conservatively as an identifier-like field despite low cardinality.,nominal code,,,4 distinct nonmissing values; contents suppressed,513,0,0.0,4,,,column header and observed file,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,4,Age,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Participant age band.,ordinal categorical,,,• 18-25; • 26-35; • 36-46; • Over 46 years,513,0,0.0,4,extended;core;coarse,,column header and repository description,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,5,Sex,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Self-reported sex category.,nominal categorical,,,• female; • male,513,0,0.0,2,extended;core;coarse,,column header and repository description,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,6,Weight,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Self-reported body-weight band.,ordinal categorical,kg,,• 50-69 kg; • 70-90 kg; • Less than 50 kg; • More than 90,513,0,0.0,4,extended,,column header and repository description,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,7,Height,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Self-reported height band.,ordinal categorical,cm,,Less than 150 cm; • 150-169 cm; • 170-190 cm; • More than 190,513,0,0.0,4,extended,,column header and repository description,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,8,Marital status,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Self-reported marital-status category.,nominal categorical,,,• Absolute; • Widower; • bachelor; • married,513,0,0.0,4,extended;core,,column header and repository description,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,9,Educational status,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Educational status,categorical text,,,He did not complete his education.; Secondary; • Elementary; • Intermediate; • University or higher,513,0,0.0,5,extended;core;coarse,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,10,Job status,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Employment or activity-status category.,nominal categorical,,,• Does not work; • Government employee; • Private sector employee; • Retired; • Student,513,0,0.0,5,extended;core,,column header and repository description,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,11,Do you have health insurance?,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Do you have health insurance?,categorical text,,,• Yes; • no,513,0,0.0,2,extended,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,12,monthly income,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Monthly income band in Saudi riyals.,ordinal categorical,SAR/month,,"• From 5000-10000; • Less than 5000 riyals; • More than 10,000",513,0,0.0,3,extended,,column header and repository description,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,13,Do you suffer from any chronic illness?,sensitive,configured outcome or health/psychological attribute used for attribute-disclosure checks,Do you suffer from any chronic illness?,categorical text,,,24 observed categories/text values; not enumerated,513,0,0.0,24,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,14,City,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Reported city category. Several English labels and spreadsheet-error tokens require depositor confirmation before substantive analysis.,nominal categorical,,,#VALUE!; • Funny; • Juniper; • Other,513,0,0.0,4,extended;core,,column header and observed file,needs_author_confirmation,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,15,Did you know that it is possible to use some diabetes medications for weight loss?,other,not used by the current privacy-role configuration,Did you know that it is possible to use some diabetes medications for weight loss?,categorical text,,,I don't know; Yes; no,513,0,0.0,3,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,16,"If the answer is yes, which of these medications can be used? More than one answer can be selected.",other,not used by the current privacy-role configuration,"If the answer is yes, which of these medications can be used? More than one answer can be selected.",high-cardinality text,,,43 observed categories/text values; not enumerated,513,0,0.0,43,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,17,"Which of the following medications is approved for weight loss by regulatory bodies, such as the U.S. Food and Drug Administration (FDA)? You can select more than one answer.",other,not used by the current privacy-role configuration,"Which of the following medications is approved for weight loss by regulatory bodies, such as the U.S. Food and Drug Administration (FDA)? You can select more than one answer.",high-cardinality text,,,40 observed categories/text values; not enumerated,513,0,0.0,40,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,18,What are the side effects of these medications? You can choose more than one.,other,not used by the current privacy-role configuration,What are the side effects of these medications? You can choose more than one.,high-cardinality text,,,139 observed categories/text values; not enumerated,513,0,0.0,139,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,19,What is the source of your information regarding the effectiveness of these medications in weight loss?,other,not used by the current privacy-role configuration,What is the source of your information regarding the effectiveness of these medications in weight loss?,categorical text,,,15 observed categories/text values; not enumerated,513,0,0.0,15,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,20,There is sufficient oversight from the relevant authorities regarding the dispensing of diabetes medications used for weight loss.,other,not used by the current privacy-role configuration,There is sufficient oversight from the relevant authorities regarding the dispensing of diabetes medications used for weight loss.,categorical text,,,I agree; I disagree; • I strongly agree; • I strongly disagree; • Neutral,513,0,0.0,5,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,21,"These medications can be used for weight loss, but only under medical supervision.",item_level,fine-grained response item contributing to a potentially distinctive response pattern,"These medications can be used for weight loss, but only under medical supervision.",categorical text,,,I agree; I disagree; • I strongly agree; • I strongly disagree; • Neutral,513,0,0.0,5,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,22,Using these medications is the first and best option for weight loss.,other,not used by the current privacy-role configuration,Using these medications is the first and best option for weight loss.,categorical text,,,I agree; I disagree; • I strongly agree; • I strongly disagree; • Neutral,513,0,0.0,5,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,23,These medications help you make the necessary lifestyle changes to lose weight and improve your health.,item_level,fine-grained response item contributing to a potentially distinctive response pattern,These medications help you make the necessary lifestyle changes to lose weight and improve your health.,categorical text,,,I agree; I disagree; • I strongly agree; • I strongly disagree; • Neutral,513,0,0.0,5,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,24,These medications are considered safe and can be used without complications.,item_level,fine-grained response item contributing to a potentially distinctive response pattern,These medications are considered safe and can be used without complications.,categorical text,,,I agree; I disagree; • I strongly agree; • I strongly disagree; • Neutral,513,0,0.0,5,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,25,The effectiveness of these medications in weight loss is guaranteed.,other,not used by the current privacy-role configuration,The effectiveness of these medications in weight loss is guaranteed.,categorical text,,,I agree; I disagree; • I strongly agree; • I strongly disagree; • Neutral,513,0,0.0,5,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,26,The long-lasting effectiveness of these drugs,other,not used by the current privacy-role configuration,The long-lasting effectiveness of these drugs,categorical text,,,I agree; I disagree; • I strongly agree; • I strongly disagree; • Neutral,513,0,0.0,5,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,27,Have you used any weight loss medications in the past twelve months?,sensitive,configured outcome or health/psychological attribute used for attribute-disclosure checks,Have you used any weight loss medications in the past twelve months?,categorical text,,,Yes; no,513,0,0.0,2,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,28,Which of the following diabetes medications did you use to lose weight?,other,not used by the current privacy-role configuration,Which of the following diabetes medications did you use to lose weight?,categorical text,,,Glucophage; I didn't use; Mogaro; Ozmebek; Saxenda,513,0,0.0,5,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,29,What other methods do you usually use to lose weight besides diabetes medication?,other,not used by the current privacy-role configuration,What other methods do you usually use to lose weight besides diabetes medication?,categorical text,,,25 observed categories/text values; not enumerated,513,0,0.0,25,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,30,Where do you get these medicines?,other,not used by the current privacy-role configuration,Where do you get these medicines?,categorical text,,,#VALUE!; Family and friends; hospital; pharmacy; social media,513,0,0.0,5,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,31,Have you had difficulty obtaining these medications recently?,other,not used by the current privacy-role configuration,Have you had difficulty obtaining these medications recently?,categorical text,,,#VALUE!; Yes; no,513,0,0.0,3,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,32,"If you have previously used these medications, how much weight (kg) did you lose?",other,not used by the current privacy-role configuration,"If you have previously used these medications, how much weight (kg) did you lose?",high-cardinality text,,,92 observed categories/text values; not enumerated,513,0,0.0,92,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,33,Do you check the source of these medicines when you buy them?,other,not used by the current privacy-role configuration,Do you check the source of these medicines when you buy them?,categorical text,,,#VALUE!; Yes; no,513,0,0.0,3,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,34,Did you consult a doctor before using these medications?,other,not used by the current privacy-role configuration,Did you consult a doctor before using these medications?,categorical text,,,#VALUE!; Yes; no,513,0,0.0,3,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,35,Did you regain your weight after stopping using it?,other,not used by the current privacy-role configuration,Did you regain your weight after stopping using it?,categorical text,,,#VALUE!; Yes; no,513,0,0.0,3,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,36,Have you experienced any side effects when using these medications?,sensitive,configured outcome or health/psychological attribute used for attribute-disclosure checks,Have you experienced any side effects when using these medications?,categorical text,,,#VALUE!; Yes; no,513,0,0.0,3,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,37,Do you read the medical information about products used for weight loss?,other,not used by the current privacy-role configuration,Do you read the medical information about products used for weight loss?,categorical text,,,#VALUE!; Yes; no,513,0,0.0,3,,,self-describing column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D2,GLP1,38,"Any comments, suggestions, or weight loss experiences?",free_text,unstructured text may contain unforeseen personal details,Optional free-text comment on weight-loss experience. Values must never be quoted or redistributed by this project.,free text,,,104 distinct nonmissing texts; contents suppressed,163,350,0.682261208576998,104,,,column header,confirmed_column_header,https://data.mendeley.com/datasets/y7rbxs53g9/1
D3,Health_Message,1,ID,structural_identifier,identifier-like or operational field excluded from public release candidates,Deposited participant record identifier.,identifier,,,348 distinct nonmissing values; contents suppressed,348,0,0.0,348,,,column header,confirmed_column_header,https://data.mendeley.com/datasets/2v8k7kk9vt/1
D3,Health_Message,2,Age,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Participant age in years.,integer numeric,years,,min=18; max=80; 45 distinct,348,0,0.0,45,extended,,repository description,confirmed_repository_description,https://data.mendeley.com/datasets/2v8k7kk9vt/1
D3,Health_Message,3,Gender,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Coded participant gender; code-to-label mapping is not present in the local workbook.,nominal code,,,1; 2,348,0,0.0,2,extended;core;coarse,,repository description and observed file,coding_not_deposited,https://data.mendeley.com/datasets/2v8k7kk9vt/1
D3,Health_Message,4,Nationality,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Coded nationality category; code-to-label mapping is not present in the local workbook.,nominal code,,,1; 2; 3; 4; 5,348,0,0.0,5,extended;core,,repository description and observed file,coding_not_deposited,https://data.mendeley.com/datasets/2v8k7kk9vt/1
D3,Health_Message,5,Education_Level,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Coded latest educational qualification; code-to-label mapping is not present in the local workbook.,ordinal code,,,1; 2; 3; 4; 5,348,0,0.0,5,extended;core;coarse,,repository description and observed file,coding_not_deposited,https://data.mendeley.com/datasets/2v8k7kk9vt/1
D3,Health_Message,6,City,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Coded Saudi city of residence; code-to-label mapping is not present in the local workbook.,nominal code,,,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11,348,0,0.0,11,extended;core,,repository description and observed file,coding_not_deposited,https://data.mendeley.com/datasets/2v8k7kk9vt/1
D3,Health_Message,7,P2_1,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Deposited depression-instrument item score P2 item 1; exact item-to-question mapping is not included in the local deposit.,ordinal item score,0-3 points,,0; 1; 2; 3,348,0,0.0,4,,,related publication and observed file,coding_not_deposited,https://data.mendeley.com/datasets/2v8k7kk9vt/1
D3,Health_Message,8,P2_2,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Deposited depression-instrument item score P2 item 2; exact item-to-question mapping is not included in the local deposit.,ordinal item score,0-3 points,,0; 1; 2; 3,348,0,0.0,4,,,related publication and observed file,coding_not_deposited,https://data.mendeley.com/datasets/2v8k7kk9vt/1
D3,Health_Message,9,P2_3,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Deposited depression-instrument item score P2 item 3; exact item-to-question mapping is not included in the local deposit.,ordinal item score,0-3 points,,0; 1; 2; 3,348,0,0.0,4,,,related publication and observed file,coding_not_deposited,https://data.mendeley.com/datasets/2v8k7kk9vt/1
D3,Health_Message,10,P2_4,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Deposited depression-instrument item score P2 item 4; exact item-to-question mapping is not included in the local deposit.,ordinal item score,0-3 points,,0; 1; 2; 3,348,0,0.0,4,,,related publication and observed file,coding_not_deposited,https://data.mendeley.com/datasets/2v8k7kk9vt/1
D3,Health_Message,11,P2_5,item_level,fine-grained response item contributing to a potentially distinctive response pattern,Deposited depression-instrument item score P2 item 5; exact item-to-question mapping is not included in the local deposit.,ordinal item score,0-3 points,,0; 1; 2; 3,348,0,0.0,4,,,related publication and observed file,coding_not_deposited,https://data.mendeley.com/datasets/2v8k7kk9vt/1
